Dataset,TabSurv,LogisticHazard,PMF,DeepHitSingle,PCHazard,MTLR,DeepSurv,RSF
TCGA500,0.6590,0.5588,0.5800,0.3430,0.5626,0.7418,0.5356,0.5010
GEO,0.5801,0.5954,0.5562,0.5350,0.6025,0.5835,0.6198,0.6759
GSE6532,0.6490,0.6150,0.6037,0.5379,0.6511,0.6214,0.6539,0.7013
GSE19783,0.6053,0.4079,0.5197,0.4211,0.5000,0.4934,0.4539,0.4342
HEL,0.6449,0.7455,0.7091,0.7727,0.8182,0.7000,0.8364,0.7364
unt,0.6417,0.6417,0.7083,0.7333,0.6500,0.6917,0.6833,0.6333
nki,0.7420,0.6528,0.6925,0.6508,0.6654,0.6557,0.6382,0.6867
transbig,0.6834,0.4256,0.5975,0.4444,0.4696,0.4906,0.5220,0.5472
UK,0.6562,0.6151,0.6250,0.6398,0.6151,0.6645,0.6365,0.6743
mainz,0.7156,0.4076,0.6209,0.4976,0.7062,0.6777,0.6445,0.6540
upp,0.7287,0.6437,0.4782,0.6621,0.5816,0.6828,0.6115,0.6299
METABRIC,0.6389,0.5503,0.5717,0.4671,0.5792,0.5879,0.5856,0.6383
