Dataset,Model,C-index
TCGA500,TabSurv,0.6589595375722543
TCGA500,LogisticHazard,0.558766859344894
TCGA500,PMF,0.5799614643545279
TCGA500,DeepHitSingle,0.34296724470134876
TCGA500,PCHazard,0.5626204238921002
TCGA500,MTLR,0.7418111753371869
TCGA500,DeepSurv,0.535645472061657
TCGA500,RSF,0.5009633911368016
GEO,TabSurv,0.580095432856169
GEO,LogisticHazard,0.5953646898432174
GEO,PMF,0.556237218813906
GEO,DeepHitSingle,0.5349693251533743
GEO,PCHazard,0.6024539877300613
GEO,MTLR,0.5835037491479209
GEO,DeepSurv,0.6197682344921609
GEO,RSF,0.6759372869802318
GSE6532,TabSurv,0.6489738145789101
GSE6532,LogisticHazard,0.6150035385704176
GSE6532,PMF,0.6036801132342534
GSE6532,DeepHitSingle,0.537862703467799
GSE6532,PCHazard,0.6510969568294409
GSE6532,MTLR,0.6213729653220099
GSE6532,DeepSurv,0.6539278131634819
GSE6532,RSF,0.7013446567586695
GSE19783,TabSurv,0.6052631578947368
GSE19783,LogisticHazard,0.40789473684210525
GSE19783,PMF,0.5197368421052632
GSE19783,DeepHitSingle,0.42105263157894735
GSE19783,PCHazard,0.5
GSE19783,MTLR,0.4934210526315789
GSE19783,DeepSurv,0.45394736842105265
GSE19783,RSF,0.4342105263157895
HEL,TabSurv,0.644927536231884
HEL,LogisticHazard,0.7454545454545455
HEL,PMF,0.7090909090909091
HEL,DeepHitSingle,0.7727272727272727
HEL,PCHazard,0.8181818181818182
HEL,MTLR,0.7
HEL,DeepSurv,0.8363636363636363
HEL,RSF,0.7363636363636363
unt,TabSurv,0.6416666666666667
unt,LogisticHazard,0.6416666666666667
unt,PMF,0.7083333333333334
unt,DeepHitSingle,0.7333333333333333
unt,PCHazard,0.65
unt,MTLR,0.6916666666666667
unt,DeepSurv,0.6833333333333333
unt,RSF,0.6333333333333333
nki,TabSurv,0.7419980601357905
nki,LogisticHazard,0.6527643064985451
nki,PMF,0.6925315227934045
nki,DeepHitSingle,0.6508244422890398
nki,PCHazard,0.6653734238603298
nki,MTLR,0.6556741028128031
nki,DeepSurv,0.6382153249272551
nki,RSF,0.6867119301648884
transbig,TabSurv,0.6834381551362684
transbig,LogisticHazard,0.42557651991614254
transbig,PMF,0.5974842767295597
transbig,DeepHitSingle,0.4444444444444444
transbig,PCHazard,0.469601677148847
transbig,MTLR,0.49056603773584906
transbig,DeepSurv,0.5220125786163522
transbig,RSF,0.5471698113207547
UK,TabSurv,0.65625
UK,LogisticHazard,0.6151315789473685
UK,PMF,0.625
UK,DeepHitSingle,0.6398026315789473
UK,PCHazard,0.6151315789473685
UK,MTLR,0.6644736842105263
UK,DeepSurv,0.6365131578947368
UK,RSF,0.6743421052631579
mainz,TabSurv,0.7156398104265402
mainz,LogisticHazard,0.4075829383886256
mainz,PMF,0.6208530805687204
mainz,DeepHitSingle,0.4976303317535545
mainz,PCHazard,0.7061611374407583
mainz,MTLR,0.6777251184834123
mainz,DeepSurv,0.6445497630331753
mainz,RSF,0.6540284360189573
upp,TabSurv,0.728735632183908
upp,LogisticHazard,0.6436781609195402
upp,PMF,0.4781609195402299
upp,DeepHitSingle,0.6620689655172414
upp,PCHazard,0.5816091954022988
upp,MTLR,0.6827586206896552
upp,DeepSurv,0.6114942528735632
upp,RSF,0.6298850574712643
METABRIC,TabSurv,0.6388724035608309
METABRIC,LogisticHazard,0.550326409495549
METABRIC,PMF,0.5716913946587537
METABRIC,DeepHitSingle,0.46706231454005936
METABRIC,PCHazard,0.5792284866468843
METABRIC,MTLR,0.5878931750741839
METABRIC,DeepSurv,0.5855786350148368
METABRIC,RSF,0.6383382789317508
